Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:75w24ichsU5aoRfVgUns2w,Black Superman,Above The Law,Best of the Past Hip-Hop,1,8,267040,,
spotify:track:0tVSehz9YkXjtlMjtmQwLz,Murder Rap,Above The Law,Livin' Like Hustlers,1,1,253293,,
spotify:track:6QJOEIPT8g3fjdFxibpy2F,Hood Took Me Under,Compton's Most Wanted,Music To Driveby,1,3,219266,,
spotify:track:1uDKjOS1t8FaTtDiewr1dm,Gangsta Rap,Ice-T,Gangsta Rap,1,1,231960,,
spotify:track:30oTS7bm0aH3p7lqjEIu8q,Full Clip,Gang Starr,Full Clip: A Decade Of Gang Starr,1,2,216595,,
spotify:track:0FzxHygj55RdtuNhmSyGe5,Work,Gang Starr,Full Clip: A Decade Of Gang Starr,2,3,176100,,
spotify:track:7N1Vjtzr1lmmCW9iasQ8YO,Survival of the Fittest,Mobb Deep,The Infamous,1,3,224533,,
spotify:track:2OsGdZYDdTK4pxDMsK0Blv,Ms. Fat Booty,Mos Def,Black On Both Sides,1,4,223515,,
spotify:track:5SrxPbFdHtvMWu6LjMWKJY,My Lowrider,"Lil Rob, E-40, Paul Wall, The Game, WC, Ice Cube","West Coast Livin', Volume Two",1,8,323680,,
spotify:track:0HXuqEeHTr36DtCCx8G1ft,You Can Do It - Feat. Mack 10 And Ms Toi,"Ice Cube, Ms. Toi, Mack 10",Back Seat Beats,1,2,259088,,
spotify:track:74Yw8aWE60rlSAeT49h9BS,Foe Life - Feat. Ice Cube,Mack 10,Snoop Dogg Presents: The West Coast Blueprint,1,13,254293,,
spotify:track:6yr8GiTHWvFfi4o6Q5ebdT,'Till I Collapse,"Eminem, Nate Dogg",The Eminem Show (Explicit Version),1,18,297893,,
spotify:track:2mPaRiSoSFBkXmihc5o9lO,Real Niggaz,"Redman, Icarus, Jamal, Scarface, Treach",Malpractice,1,7,315293,,
spotify:track:2lOaESpnrGVPIphMayF10j,How To Roll A Blunt,"How High The Original Motion Picture Soundtrack, Redman",How High The Original Motion Picture Soundtrack,1,17,201743,,
spotify:track:5UmfliCNIfMRC6kMZwme3C,Everythang's Corrupt,Ice Cube,Everythang's Corrupt,1,1,200943,,
spotify:track:0B5sTVITVOME8digINZ39M,Brooklyn,Mos Def,Black On Both Sides,1,13,309986,,
